PRON_SIL SIL
PRON_UW_E UW_E
PRON_UW_I UW_I
PRON_UW_S UW_S
PRON_UW0_B UW0_B
PRON_UW0_E UW0_E
PRON_UW0_I UW0_I
PRON_UW0_S UW0_S
PRON_UW1_B UW1_B
PRON_UW1_E UW1_E
PRON_UW1_I UW1_I
PRON_UW1_S UW1_S
PRON_UW2_B UW2_B
PRON_UW2_E UW2_E
PRON_UW2_I UW2_I
PRON_UW2_S UW2_S
PRON_V_B V_B
PRON_V_E V_E
PRON_V_I V_I
PRON_V_S V_S
PRON_W_B W_B
PRON_W_E W_E
PRON_W_I W_I
PRON_W_S W_S
PRON_Y_B Y_B
PRON_Y_E Y_E
PRON_Y_I Y_I
PRON_Y_S Y_S
PRON_Z_B Z_B
PRON_Z_E Z_E
PRON_Z_I Z_I
PRON_Z_S Z_S
PRON_ZH_B ZH_B
PRON_ZH_E ZH_E
PRON_ZH_I ZH_I
PRON_ZH_S ZH_S
