PRON_SIL 1.0	SIL
PRON_OW2_B 1.0	OW2_B
PRON_OW2_E 1.0	OW2_E
PRON_OW2_I 1.0	OW2_I
PRON_OW2_S 1.0	OW2_S
PRON_OY_B 1.0	OY_B
PRON_OY_E 1.0	OY_E
PRON_OY_I 1.0	OY_I
PRON_OY_S 1.0	OY_S
PRON_OY0_B 1.0	OY0_B
PRON_OY0_E 1.0	OY0_E
PRON_OY0_I 1.0	OY0_I
PRON_OY0_S 1.0	OY0_S
PRON_OY1_B 1.0	OY1_B
PRON_OY1_E 1.0	OY1_E
PRON_OY1_I 1.0	OY1_I
PRON_OY1_S 1.0	OY1_S
PRON_OY2_B 1.0	OY2_B
PRON_OY2_E 1.0	OY2_E
PRON_OY2_I 1.0	OY2_I
PRON_OY2_S 1.0	OY2_S
PRON_P_B 1.0	P_B
PRON_P_E 1.0	P_E
PRON_P_I 1.0	P_I
PRON_P_S 1.0	P_S
PRON_R_B 1.0	R_B
PRON_R_E 1.0	R_E
PRON_R_I 1.0	R_I
PRON_R_S 1.0	R_S
PRON_S_B 1.0	S_B
PRON_S_E 1.0	S_E
PRON_S_I 1.0	S_I
PRON_S_S 1.0	S_S
PRON_SH_B 1.0	SH_B
PRON_SH_E 1.0	SH_E
PRON_SH_I 1.0	SH_I
PRON_SH_S 1.0	SH_S
PRON_T_B 1.0	T_B
PRON_T_E 1.0	T_E
PRON_T_I 1.0	T_I
PRON_T_S 1.0	T_S
PRON_TH_B 1.0	TH_B
PRON_TH_E 1.0	TH_E
PRON_TH_I 1.0	TH_I
PRON_TH_S 1.0	TH_S
PRON_UH_B 1.0	UH_B
PRON_UH_E 1.0	UH_E
PRON_UH_I 1.0	UH_I
PRON_UH_S 1.0	UH_S
PRON_UH0_B 1.0	UH0_B
PRON_UH0_E 1.0	UH0_E
PRON_UH0_I 1.0	UH0_I
PRON_UH0_S 1.0	UH0_S
PRON_UH1_B 1.0	UH1_B
PRON_UH1_E 1.0	UH1_E
PRON_UH1_I 1.0	UH1_I
PRON_UH1_S 1.0	UH1_S
PRON_UH2_B 1.0	UH2_B
PRON_UH2_E 1.0	UH2_E
PRON_UH2_I 1.0	UH2_I
PRON_UH2_S 1.0	UH2_S
PRON_UW_B 1.0	UW_B
PRON_UW_E 1.0	UW_E
PRON_UW_I 1.0	UW_I
PRON_UW_S 1.0	UW_S
PRON_UW0_B 1.0	UW0_B
PRON_UW0_E 1.0	UW0_E
PRON_UW0_I 1.0	UW0_I
PRON_UW0_S 1.0	UW0_S
PRON_UW1_B 1.0	UW1_B
PRON_UW1_E 1.0	UW1_E
PRON_UW1_I 1.0	UW1_I
PRON_UW1_S 1.0	UW1_S
PRON_UW2_B 1.0	UW2_B
PRON_UW2_E 1.0	UW2_E
PRON_UW2_I 1.0	UW2_I
PRON_UW2_S 1.0	UW2_S
PRON_V_B 1.0	V_B
PRON_V_E 1.0	V_E
PRON_V_I 1.0	V_I
PRON_V_S 1.0	V_S
PRON_W_B 1.0	W_B
PRON_W_E 1.0	W_E
PRON_W_I 1.0	W_I
PRON_W_S 1.0	W_S
PRON_Y_B 1.0	Y_B
PRON_Y_E 1.0	Y_E
PRON_Y_I 1.0	Y_I
PRON_Y_S 1.0	Y_S
PRON_Z_B 1.0	Z_B
PRON_Z_E 1.0	Z_E
PRON_Z_I 1.0	Z_I
PRON_Z_S 1.0	Z_S
PRON_ZH_B 1.0	ZH_B
PRON_ZH_E 1.0	ZH_E
PRON_ZH_I 1.0	ZH_I
PRON_ZH_S 1.0	ZH_S
